Country Name,Country Code,Indicator Name,Surface Area,
Aruba,ABW,Surface area (sq. km),180,
Afghanistan,AFG,Surface area (sq. km),652860,
Angola,AGO,Surface area (sq. km),1246700,
Albania,ALB,Surface area (sq. km),28750,
Andorra,AND,Surface area (sq. km),470,
Arab World,ARB,Surface area (sq. km),13152649.5,
United Arab Emirates,ARE,Surface area (sq. km),83600,
Argentina,ARG,Surface area (sq. km),2780400,
Armenia,ARM,Surface area (sq. km),29740,
American Samoa,ASM,Surface area (sq. km),200,
Antigua and Barbuda,ATG,Surface area (sq. km),440,
Australia,AUS,Surface area (sq. km),7741220,
Austria,AUT,Surface area (sq. km),83879,
Azerbaijan,AZE,Surface area (sq. km),86600,
Burundi,BDI,Surface area (sq. km),27830,
Belgium,BEL,Surface area (sq. km),30530,
Benin,BEN,Surface area (sq. km),114760,
Burkina Faso,BFA,Surface area (sq. km),274220,
Bangladesh,BGD,Surface area (sq. km),147630,
Bulgaria,BGR,Surface area (sq. km),111000,
Bahrain,BHR,Surface area (sq. km),771,
"Bahamas, The",BHS,Surface area (sq. km),13880,
Bosnia and Herzegovina,BIH,Surface area (sq. km),51210,
Belarus,BLR,Surface area (sq. km),207600,
Belize,BLZ,Surface area (sq. km),22970,
Bermuda,BMU,Surface area (sq. km),50,
Bolivia,BOL,Surface area (sq. km),1098580,
Brazil,BRA,Surface area (sq. km),8515770,
Barbados,BRB,Surface area (sq. km),430,
Brunei Darussalam,BRN,Surface area (sq. km),5770,
Bhutan,BTN,Surface area (sq. km),38394,
Botswana,BWA,Surface area (sq. km),581730,
Central African Republic,CAF,Surface area (sq. km),622980,
Canada,CAN,Surface area (sq. km),9984670,
Central Europe and the Baltics,CEB,Surface area (sq. km),1134871,
Switzerland,CHE,Surface area (sq. km),41290,
Channel Islands,CHI,Surface area (sq. km),190,
Chile,CHL,Surface area (sq. km),756096,
China,CHN,Surface area (sq. km),9562911,
Cote d'Ivoire,CIV,Surface area (sq. km),322460,
Cameroon,CMR,Surface area (sq. km),475440,
"Congo, Dem. Rep.",COD,Surface area (sq. km),2344860,
"Congo, Rep.",COG,Surface area (sq. km),342000,
Colombia,COL,Surface area (sq. km),1141749,
Comoros,COM,Surface area (sq. km),1861,
Cabo Verde,CPV,Surface area (sq. km),4030,
Costa Rica,CRI,Surface area (sq. km),51100,
Caribbean small states,CSS,Surface area (sq. km),434990,
Cuba,CUB,Surface area (sq. km),109880,
Curacao,CUW,Surface area (sq. km),444,
Cayman Islands,CYM,Surface area (sq. km),264,
Cyprus,CYP,Surface area (sq. km),9250,
Czech Republic,CZE,Surface area (sq. km),78870,
Germany,DEU,Surface area (sq. km),357380,
Djibouti,DJI,Surface area (sq. km),23200,
Dominica,DMA,Surface area (sq. km),750,
Denmark,DNK,Surface area (sq. km),42922,
Dominican Republic,DOM,Surface area (sq. km),48670,
Algeria,DZA,Surface area (sq. km),2381740,
East Asia & Pacific (excluding high income),EAP,Surface area (sq. km),16270419,
Early-demographic dividend,EAR,Surface area (sq. km),34105563,
East Asia & Pacific,EAS,Surface area (sq. km),24825215.3,
Europe & Central Asia (excluding high income),ECA,Surface area (sq. km),23541074,
Europe & Central Asia,ECS,Surface area (sq. km),28461114,
Ecuador,ECU,Surface area (sq. km),256370,
"Egypt, Arab Rep.",EGY,Surface area (sq. km),1001450,
Euro area,EMU,Surface area (sq. km),2759052,
Eritrea,ERI,Surface area (sq. km),117600,
Spain,ESP,Surface area (sq. km),505940,
Estonia,EST,Surface area (sq. km),45230,
Ethiopia,ETH,Surface area (sq. km),1104300,
European Union,EUU,Surface area (sq. km),4383564,
Fragile and conflict affected situations,FCS,Surface area (sq. km),15752115.5,
Finland,FIN,Surface area (sq. km),338420,
Fiji,FJI,Surface area (sq. km),18270,
France,FRA,Surface area (sq. km),549087,
Faroe Islands,FRO,Surface area (sq. km),1396,
"Micronesia, Fed. Sts.",FSM,Surface area (sq. km),700,
Gabon,GAB,Surface area (sq. km),267670,
United Kingdom,GBR,Surface area (sq. km),243610,
Georgia,GEO,Surface area (sq. km),69700,
Ghana,GHA,Surface area (sq. km),238540,
Gibraltar,GIB,Surface area (sq. km),10,
Guinea,GIN,Surface area (sq. km),245860,
"Gambia, The",GMB,Surface area (sq. km),11300,
Guinea-Bissau,GNB,Surface area (sq. km),36130,
Equatorial Guinea,GNQ,Surface area (sq. km),28050,
Greece,GRC,Surface area (sq. km),131960,
Grenada,GRD,Surface area (sq. km),340,
Greenland,GRL,Surface area (sq. km),410450,
Guatemala,GTM,Surface area (sq. km),108890,
Guam,GUM,Surface area (sq. km),540,
Guyana,GUY,Surface area (sq. km),214970,
High income,HIC,Surface area (sq. km),36850659.7,
"Hong Kong SAR, China",HKG,Surface area (sq. km),1105,
Honduras,HND,Surface area (sq. km),112490,
Heavily indebted poor countries (HIPC),HPC,Surface area (sq. km),19767153.5,
Croatia,HRV,Surface area (sq. km),56590,
Haiti,HTI,Surface area (sq. km),27750,
Hungary,HUN,Surface area (sq. km),93030,
IBRD only,IBD,Surface area (sq. km),71363207,
IDA & IBRD total,IBT,Surface area (sq. km),98489576.5,
IDA total,IDA,Surface area (sq. km),27126369.5,
IDA blend,IDB,Surface area (sq. km),6037650,
Indonesia,IDN,Surface area (sq. km),1910931,
IDA only,IDX,Surface area (sq. km),21088719.5,
Isle of Man,IMN,Surface area (sq. km),570,
India,IND,Surface area (sq. km),3287259,
Not classified,INX,Surface area (sq. km),,
Ireland,IRL,Surface area (sq. km),70280,
"Iran, Islamic Rep.",IRN,Surface area (sq. km),1745150,
Iraq,IRQ,Surface area (sq. km),435050,
Iceland,ISL,Surface area (sq. km),103000,
Israel,ISR,Surface area (sq. km),22070,
Italy,ITA,Surface area (sq. km),301340,
Jamaica,JAM,Surface area (sq. km),10990,
Jordan,JOR,Surface area (sq. km),89320,
Japan,JPN,Surface area (sq. km),377962,
Kazakhstan,KAZ,Surface area (sq. km),2724902,
Kenya,KEN,Surface area (sq. km),580370,
Kyrgyz Republic,KGZ,Surface area (sq. km),199949,
Cambodia,KHM,Surface area (sq. km),181040,
Kiribati,KIR,Surface area (sq. km),810,
St. Kitts and Nevis,KNA,Surface area (sq. km),260,
"Korea, Rep.",KOR,Surface area (sq. km),100280,
Kuwait,KWT,Surface area (sq. km),17820,
Latin America & Caribbean (excluding high income),LAC,Surface area (sq. km),19461731,
Lao PDR,LAO,Surface area (sq. km),236800,
Lebanon,LBN,Surface area (sq. km),10450,
Liberia,LBR,Surface area (sq. km),111370,
Libya,LBY,Surface area (sq. km),1759540,
St. Lucia,LCA,Surface area (sq. km),620,
Latin America & Caribbean,LCN,Surface area (sq. km),20425483.4,
